SalePrice,Overall_Qual,Overall_Cond,Gr_Liv_Area,Lot_Area,Year_Built,Total_Bsmt_SF,Garage_Cars,Garage_Yr_Blt,Full_Bath,Bedroom_AbvGr,Neighborhood,House_Style,Kitchen_Qual,Exter_Qual
215000,6,5,1656,31770,1960,1080.0,2.0,1960.0,1,3,NAmes,1Story,TA,TA
105000,5,6,896,11622,1961,882.0,1.0,1961.0,1,2,NAmes,1Story,TA,TA
172000,6,6,1329,14267,1958,1329.0,1.0,1958.0,1,3,NAmes,1Story,Gd,TA
244000,7,5,2110,11160,1968,2110.0,2.0,1968.0,2,3,NAmes,1Story,Ex,Gd
189900,5,5,1629,13830,1997,928.0,2.0,1997.0,2,3,Gilbert,2Story,TA,TA
195500,6,6,1604,9978,1998,926.0,2.0,1998.0,2,3,Gilbert,2Story,Gd,TA
213500,8,5,1338,4920,2001,1338.0,2.0,2001.0,2,2,StoneBr,1Story,Gd,Gd
191500,8,5,1280,5005,1992,1280.0,2.0,1992.0,2,2,StoneBr,1Story,Gd,Gd
236500,8,5,1616,5389,1995,1595.0,2.0,1995.0,2,2,StoneBr,1Story,Gd,Gd
189000,7,5,1804,7500,1999,994.0,2.0,1999.0,2,3,Gilbert,2Story,Gd,TA
175900,6,5,1655,10000,1993,763.0,2.0,1993.0,2,3,Gilbert,2Story,TA,TA
185000,6,7,1187,7980,1992,1168.0,2.0,1992.0,2,3,Gilbert,1Story,TA,TA
180400,6,5,1465,8402,1998,789.0,2.0,1998.0,2,3,Gilbert,2Story,TA,TA
171500,7,5,1341,10176,1990,1300.0,2.0,1990.0,1,2,Gilbert,1Story,Gd,TA
212000,8,5,1502,6820,1985,1488.0,2.0,1985.0,1,1,StoneBr,1Story,Gd,Gd
538000,8,5,3279,53504,2003,1650.0,3.0,2003.0,3,4,StoneBr,2Story,Ex,Ex
164000,8,7,1752,12134,1988,559.0,2.0,1988.0,2,4,Gilbert,1.5Fin,TA,Gd
394432,9,2,1856,11394,2010,1856.0,3.0,2010.0,1,1,StoneBr,1Story,Ex,Gd
141000,4,5,864,19138,1951,864.0,2.0,1951.0,1,2,Gilbert,1Story,TA,TA
210000,6,6,2073,13175,1978,1542.0,2.0,1978.0,2,3,NWAmes,1Story,TA,TA
190000,6,6,1844,11751,1977,1844.0,2.0,1977.0,2,3,NWAmes,1Story,TA,TA
170000,7,6,1173,10625,1974,1053.0,2.0,1974.0,2,3,NWAmes,SFoyer,Gd,TA
216000,7,5,1674,7500,2000,814.0,2.0,2000.0,2,3,Somerst,2Story,Gd,Gd
149000,6,7,1004,11241,1970,1004.0,2.0,1970.0,1,2,NAmes,1Story,TA,TA
149900,5,6,1078,12537,1971,1078.0,2.0,1971.0,1,3,NAmes,1Story,TA,TA
142000,5,6,1056,8450,1968,1056.0,1.0,1968.0,1,3,NAmes,1Story,TA,TA
126000,4,5,882,8400,1970,882.0,2.0,1970.0,1,2,NAmes,1Story,TA,TA
115000,4,5,864,10500,1971,864.0,0.0,,1,3,NAmes,1Story,TA,TA
184000,7,5,1337,5858,1999,1405.0,2.0,1999.0,2,2,NAmes,1Story,Gd,Gd
96000,6,5,987,1680,1971,483.0,1.0,1971.0,1,2,BrDale,2Story,TA,TA
105500,5,5,1092,1680,1971,525.0,1.0,1997.0,1,3,BrDale,2Story,TA,TA
88000,6,5,1092,1680,1971,525.0,1.0,1971.0,1,3,BrDale,2Story,TA,TA
127500,6,5,1069,4043,1977,1069.0,2.0,1977.0,2,2,NPkVill,1Story,TA,TA
149900,6,6,1456,2280,1975,855.0,2.0,1975.0,2,3,NPkVill,2Story,Gd,TA
120000,7,6,836,2280,1975,836.0,1.0,1975.0,1,2,NPkVill,1Story,TA,TA
146000,6,5,1456,2280,1978,855.0,2.0,1978.0,2,3,NPkVill,2Story,TA,TA
376162,9,5,2334,12858,2009,1590.0,3.0,2009.0,2,3,NridgHt,2Story,Ex,Ex
306000,8,5,1704,11478,2007,1704.0,3.0,2008.0,2,3,NridgHt,1Story,Gd,Gd
395192,9,5,1940,10159,2009,1930.0,3.0,2010.0,2,3,NridgHt,1Story,Ex,Ex
290941,8,5,1544,12883,2009,1544.0,3.0,2009.0,2,3,NridgHt,1Story,Gd,Gd
220000,7,5,1541,12182,2005,1541.0,2.0,2005.0,2,3,NridgHt,1Story,Gd,Gd
275000,9,5,1698,11520,2005,1698.0,3.0,2005.0,2,3,NridgHt,1Story,Ex,Gd
259000,8,5,1822,14122,2005,1822.0,3.0,2005.0,2,3,NridgHt,1Story,Ex,Gd
214000,7,5,1535,10171,2004,1517.0,2.0,2004.0,2,3,NridgHt,1Story,Gd,Gd
611657,9,5,2364,12919,2009,2330.0,3.0,2009.0,2,2,NridgHt,1Story,Ex,Ex
224000,7,5,1358,6371,2009,1358.0,2.0,2010.0,2,2,NridgHt,1Story,Gd,Gd
500000,9,5,2696,14300,2003,2846.0,3.0,2003.0,2,3,NridgHt,1Story,Ex,Ex
320000,8,5,2250,13650,2002,1671.0,3.0,2002.0,2,3,NridgHt,2Story,Gd,Gd
319900,9,5,1752,7658,2005,1752.0,2.0,2005.0,2,2,NridgHt,1Story,Ex,Ex
205000,8,5,1370,7132,2006,1370.0,2.0,2006.0,2,2,NridgHt,1Story,Gd,Gd
175500,7,5,1626,2628,2003,764.0,2.0,2003.0,2,2,NridgHt,2Story,Gd,Gd
199500,6,5,1324,18494,2005,1324.0,2.0,2005.0,2,3,Gilbert,1Story,Gd,Gd
160000,7,5,1145,3203,2006,1145.0,2.0,2006.0,2,2,Blmngtn,1Story,Gd,Gd
192000,8,5,1269,3182,2004,1256.0,2.0,2004.0,2,2,Blmngtn,1Story,Gd,Gd
184500,7,5,1374,13300,2004,384.0,2.0,2004.0,2,3,Gilbert,SLvl,Gd,Gd
216500,6,5,1960,7851,2002,860.0,2.0,2002.0,2,4,Gilbert,2Story,Gd,Gd
185088,7,5,1733,8577,2004,847.0,2.0,2004.0,2,3,Gilbert,2Story,Gd,Gd
180000,7,5,1430,7750,2000,384.0,2.0,2000.0,2,3,Gilbert,SLvl,TA,TA
222500,7,5,2035,9505,2001,884.0,2.0,2001.0,2,3,Gilbert,2Story,Gd,Gd
333168,9,5,2599,14774,1999,1393.0,3.0,1999.0,2,4,NoRidge,2Story,Gd,Gd
355000,8,5,2475,17433,1998,1629.0,3.0,1998.0,2,4,NoRidge,2Story,Gd,Gd
260400,7,5,1720,10593,1996,1720.0,2.0,1996.0,2,3,NoRidge,1Story,Gd,Gd
325000,8,5,2622,12256,1994,1463.0,2.0,1994.0,2,3,NoRidge,2Story,Gd,Gd
290000,8,7,2270,11764,1999,1152.0,3.0,1999.0,2,4,NoRidge,2Story,Gd,Gd
221000,7,5,1839,16770,1998,1195.0,2.0,1998.0,2,4,NoRidge,2Story,TA,Gd
410000,8,5,3238,14720,1995,2033.0,3.0,1996.0,2,4,NoRidge,1.5Fin,Gd,Gd
221500,8,5,1595,8987,2005,1595.0,3.0,2005.0,2,2,Somerst,1Story,Gd,Gd
204500,7,5,1218,9215,2009,1218.0,2.0,2009.0,2,2,Somerst,1Story,Gd,Gd
215200,7,5,1547,8640,2009,756.0,2.0,2009.0,2,3,Somerst,2Story,Gd,TA
262500,8,5,1566,9000,2008,1566.0,2.0,2008.0,2,3,Somerst,1Story,Gd,Gd
254900,7,5,1947,12552,2004,991.0,2.0,2004.0,2,3,Somerst,2Story,Gd,Gd
271500,6,5,1468,10440,2005,1468.0,2.0,2005.0,2,2,Somerst,1Story,Gd,Gd
233000,7,5,2084,10142,2004,956.0,2.0,2004.0,2,4,SawyerW,2Story,Gd,Gd
181000,7,5,1659,11920,2004,831.0,2.0,2004.0,2,3,SawyerW,2Story,Gd,Gd
205000,7,5,2110,8880,1994,948.0,2.0,1994.0,2,3,SawyerW,2Story,Gd,Gd
143000,6,5,923,8012,1980,923.0,1.0,1980.0,2,2,SawyerW,1Story,TA,TA
189000,6,5,1845,11218,1992,1055.0,2.0,1992.0,2,3,SawyerW,2Story,Gd,Gd
99500,6,5,918,7892,1979,918.0,1.0,1979.0,2,2,SawyerW,1Story,TA,TA
125000,6,5,752,7175,1984,744.0,1.0,1984.0,1,2,SawyerW,1Story,TA,TA
194500,7,7,1744,9453,1993,996.0,2.0,1993.0,2,3,SawyerW,2Story,Gd,Gd
152000,6,5,1097,9672,1984,1040.0,2.0,1986.0,2,3,SawyerW,1Story,TA,TA
171000,6,6,1564,8400,1980,650.0,2.0,1980.0,2,3,SawyerW,2Story,TA,TA
67500,5,5,1012,9800,1920,816.0,1.0,1920.0,1,2,SawyerW,1Story,TA,TA
112000,6,5,1902,8930,1978,0.0,2.0,1978.0,2,4,Sawyer,1.5Fin,TA,TA
