id,date,price,bedrooms,living_area,lot_area,floors,waterfront,grade,above_area,basement_area,yr_built,zipcode
1999700045,20140502T000000,313000,3,1340,7912,1.5,0,7등급,1340,0,1955,98133
5467900070,20140502T000000,342000,3,1930,11947,1,0,8등급,1930,0,1966,98042
4040800810,20140502T000000,420000,3,2000,8030,1,0,8등급,1000,1000,1963,98008
1860600135,20140502T000000,2380000,5,3650,9050,2,0,10등급,3370,280,1921,98119
6865200444,20140505T000000,531000,2,1270,1175,2,0,8등급,1110,160,2000,98103
325059171,20140505T000000,900000,3,1330,77972,1,0,7등급,1330,0,1928,98033
1954440060,20140505T000000,560000,3,1900,8744,2,0,8등급,1900,0,1987,98074
1623300160,20140506T000000,450000,2,1100,3000,1.5,0,7등급,1100,0,1912,98117
3754700160,20140506T000000,397000,4,1440,7680,1,0,7등급,1200,240,1971,98034
2985800030,20140507T000000,495000,3,990,6000,1,0,6등급,990,0,1943,98105
2767603505,20140507T000000,519950,3,1170,1249,3,0,8등급,1170,0,2014,98107
84000105,20140507T000000,255000,5,2060,8632,1,0,7등급,1030,1030,1962,98146
5113400431,20140508T000000,615000,2,1540,6872,1,0,7등급,820,720,1946,98119
2619950350,20140508T000000,403000,3,2090,8354,2,0,8등급,2090,0,2012,98019
8566100200,20140508T000000,980000,5,3160,11470,1,0,9등급,1780,1380,1971,98040
1081300200,20140509T000000,352000,3,1640,11050,1,0,8등급,1640,0,1972,98059
1778350070,20140509T000000,765000,4,2790,10819,2,0,10등급,2790,0,1996,98027
2296500136,20140509T000000,839900,4,3810,13592,1,0,9등급,2560,1250,2013,98056
1853000510,20140509T000000,985000,4,4230,37769,2,0,11등급,4230,0,1989,98077
9429500045,20140509T000000,428750,3,,30736,1.5,0,7등급,1620,0,1911,98006
9828702519,20140512T000000,490000,2,1230,1391,2,0,8등급,870,360,2004,98112
8929000270,20140512T000000,453246,3,2010,2287,2,0,8등급,1390,620,2014,98029
9822700295,20140512T000000,885000,,2830,5000,2,0,9등급,2830,0,1995,98105
1653500070,20140512T000000,927000,4,3300,12090,2,0,8등급,3300,0,1953,98004
7237550310,20140512T000000,1230000,4,5420,101930,1,0,11등급,3890,1530,2001,98053
325059286,20140513T000000,819900,5,3150,7119,2,0,9등급,3150,0,2013,98052
1310430400,20140513T000000,455000,4,3360,7685,2,0,9등급,3360,0,2001,98058
6145600041,20140514T000000,306000,3,1220,1086,3,0,8등급,1220,0,2007,98133
6300500875,20140514T000000,385000,4,1620,4980,1,0,7등급,860,760,1947,98133
3826000070,20140515T000000,185000,3,1150,8100,1,0,6등급,1150,0,1932,98168
7376300060,20140515T000000,465750,3,1260,10350,1,0,7등급,1260,0,1959,98008
2460700700,20140515T000000,252350,3,1650,7352,1,0,7등급,1160,490,1979,98058
7796450200,20140515T000000,256883,3,1690,5025,2,0,8등급,1690,0,2003,98023
8677300550,20140515T000000,592500,4,2240,12032,1,0,9등급,2240,0,1983,98074
8651520510,20140515T000000,582800,4,2550,7636,1,0,8등급,1440,1110,1986,98074
7300400060,20140515T000000,370000,4,2710,5880,2,0,9등급,2710,0,1998,98092
7920100045,20140516T000000,350000,1,700,5100,1,0,7등급,700,0,1942,98115
8091400200,20140516T000000,252700,2,1070,9643,1,0,7등급,1070,0,1985,98030
9297301580,20140516T000000,451000,3,1560,4049,1.5,0,7등급,1000,560,1926,98126
